id,pos_comm,neg_comm,neutral_comm,total_comments
XNJmeXb4Y0A,60,6,57,123
6FgoZiTT52w,104,20,276,400
RkBEEiG-wd4,120,115,165,400
IYvEhgYy35I,269,40,291,600
4F2KWDQQMhY,333,23,144,500
cpvUG_fo6lU,227,87,186,500
GVvqt-8-fz0,192,32,76,300
Ayb_2qbZHm4,269,65,266,600
ao21eJgsF1w,151,103,246,500
zHdJwBrT3WA,74,49,77,200
vpcDYc_4gV4,58,56,86,200
IUkNNDg18mY,119,55,126,300
uNseVux0CA4,213,61,222,496
WpddITk3bK8,213,73,214,500
bAon04ZJhHE,115,65,120,300
tmGMd2bqh6o,91,33,76,200
3uxsHmxQBHA,223,94,183,500
paXOkGMyG8M,284,42,174,500
FTIStPerVNw,38,24,38,100
0bcHEsmmpzU,101,43,156,300
uWFAD84I66I,258,70,172,500
ZCQuasiJgYM,143,108,149,400
noVEvsozyug,231,80,189,500
nL9bZbv2aXY,252,20,128,400
PPg1gN_ey2o,43,9,48,100
z1g7n0QZvvE,13,7,4,24
-jFgNreZPf0,228,73,199,500
ZYSjPZUqLdk,214,71,115,400
GWKI-CoCCTU,245,32,123,400
2y7rk7eHHAM,185,141,174,500
0VfGA5bE1AQ,41,9,50,100
lse3oJfPPk4,269,93,234,596
IRGEpm1AXRM,11,6,10,27
gGILiLTenR8,135,99,266,500
c8xGJju2x20,41,51,129,221
wiBhzhQu_2c,225,21,54,300
nRGz2md8l28,184,80,236,500
YKgY0zQnqcU,120,77,103,300
LGAfo5unZaw,38,9,53,100
S7rQSRGGKSQ,173,51,76,300
T-IXvsQuogs,101,26,173,300
Y12lF3cYufo,63,29,108,200
ppGCbh8ggUs,109,31,60,200
JO7X9ZPoAp8,199,167,133,499
tqUKbEfW-B8,134,79,187,400
DtsWj9XiOIY,291,29,80,400
Ap5hoCTkTUM,121,59,220,400
GIqhMKlSCgY,53,11,36,100
WvkrRBduZ84,154,9,83,246
ddJ7HLIfJdk,95,13,92,200
7wwTAo01AKs,86,114,100,300
IKaMejA5J34,120,15,65,200
0Yhaei1S5oQ,68,53,79,200
LaZQ_gj919U,52,4,8,64
_uLmn_Dba08,65,19,116,200
dvPJJUbM8IY,102,28,70,200
XSCneVakGGk,127,96,77,300
aeUyLiIlDVE,16,3,21,40
Xul7ku1XxRY,292,127,281,700
EmjMWi0MBXQ,48,12,35,95
lv5uC6cfO5c,231,128,241,600
XSLc0d5aM04,213,212,275,700
NYD9ByC0c_I,89,22,89,200
D1KpuWg2hc0,10,2,2,14
f09ne0W6MZU,146,32,122,300
EmlH7yRKmSY,111,73,216,400
k8T9SMqAqyc,294,8,98,400
xmZ1ppujkXg,102,90,108,300
mShBE_wHAk8,0,0,1,1
vWmjyYh64vg,112,23,65,200
Lwn97mpBCu8,296,106,198,600
t3oar3hIDWA,46,9,45,100
R-wJEtDpKls,23,12,26,61
oySwpCuzQ9A,89,36,75,200
RsG37JcEQNw,200,102,198,500
j9UGpBZz7WU,27,19,54,100
2DTwXdqmRiM,194,86,313,593
wmiy00-NqDk,89,21,90,200
equByOb9j5E,86,84,230,400
3yoGE3v4A8w,96,21,83,200
1NyMSWqIJDQ,180,129,291,600
aepr6ynzeX4,150,25,125,300
R_jKUDmJs1Y,128,54,317,499
NzRuDD0iYC0,69,65,66,200
mPvNt7PB6dE,12,18,30,60
l7yxJDFvTRM,137,128,235,500
WFkhq40z348,29,7,20,56
yAZwhN-WKGg,33,40,31,104
rh8b-Ibzkfg,208,25,67,300
htpR770aP2k,132,127,141,400
bF5sIEuv83k,119,12,69,200
JZDM1bLn7sM,126,14,60,200
H7ojygIbMYk,211,49,130,390
6lsPIlsbqsM,6,6,17,29
xwW0VfkFljE,109,74,117,300
OHL3J9cKNyg,16,4,9,29
1kVLpFilePw,44,11,45,100
LolP3Y7_Irs,279,43,278,600
1nEp6DcHwhs,103,39,58,200
fbokWw3b94k,144,27,229,400
HjkmacUCJw8,82,27,66,175
dtqlSPt4z20,127,70,303,500
Wb-6fhfAn2I,292,114,194,600
74zJ4scJzNs,197,209,293,699
368_ovPsJk8,241,103,352,696
O78Lpo4ctSE,217,17,166,400
Rmg5fLRBkZo,205,46,149,400
yTVysPsX5ns,22,14,64,100
Tm8LGxTLtQk,229,96,275,600
eHq6ZA6uKOg,61,47,63,171
9sjLzdix70w,72,65,63,200
EZaPeQ2dxh8,0,0,4,4
-zCYX0esYlo,125,55,120,300
zTTaFg2Sq9Y,139,88,185,412
AAZbviHZVhE,222,84,194,500
J_ub7Etch2U,236,63,201,500
rjINNeC0DFA,58,4,38,100
Hx9Juyi_uAw,16,22,21,59
FPRTN_r9IyM,73,36,62,171
HzIB6TC1Ghw,150,135,115,400
Mw5T62dJzhQ,78,27,95,200
HMT3wb4h234,138,23,39,200
81OBIsQoQIc,16,9,275,300
lSsTCiC93WI,219,129,152,500
g_PtkN3aYFo,86,38,76,200
tq7tHN9HBJU,188,36,176,400
uqoFsqOJYCg,93,132,75,300
QJVlhvyLmPw,29,2,8,39
yj7OZ602CM8,190,79,131,400
bU7u_MhVvvo,74,37,67,178
_pc1kON-doU,304,71,225,600
oKI4EAIcaLw,58,48,94,200
Ln4gDwbtKMw,6,1,5,12
